Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
39069983,00000412,false,Rx,0,2,00,00,00,00,00,00,00,00,
39075680,00000036,false,Rx,0,8,0E,00,00,2F,03,00,00,A0,
39119599,00000036,false,Rx,0,8,0E,00,00,2F,01,00,00,A0,
39121382,000005D2,false,Rx,0,8,B0,00,00,00,01,0A,06,16,
39127561,000005E5,false,Rx,0,8,25,09,03,05,18,08,20,11,
39134743,000005DF,false,Rx,0,8,1F,18,09,03,08,00,20,0D,
39139937,00000512,false,Rx,0,8,01,00,00,00,00,00,00,00,
39141705,000000B6,false,Rx,0,8,FF,FF,00,00,00,00,00,D0,
39143560,00000217,false,Rx,0,8,F0,00,00,00,00,FF,00,00,
39147412,00000167,false,Rx,0,8,09,06,FF,FF,7F,FF,00,00,
39154946,000001A1,false,Rx,0,8,7F,FF,00,FF,FF,FF,FF,FF,
39160066,000001E1,false,Rx,0,8,80,80,80,80,80,80,00,00,
39162982,00000257,false,Rx,0,6,1F,5E,0B,E0,A1,F4,00,00,
39169868,0000024C,false,Rx,0,5,04,00,00,00,00,00,00,00,
39175334,00000120,false,Rx,0,8,FC,00,00,00,00,00,00,00,
39180427,00000168,false,Rx,0,8,8C,40,00,B2,24,00,20,00,
39194502,0000018C,false,Rx,0,2,00,00,00,00,00,00,00,00,
39205011,0000014C,false,Rx,0,5,00,00,00,00,80,00,00,00,
39209791,00000126,false,Rx,0,3,00,B0,00,00,00,00,00,00,
39219772,0000028C,false,Rx,0,5,04,00,00,00,00,00,00,00,
39227570,000005F1,false,Rx,0,8,31,14,08,03,05,00,20,09,
39229914,00000361,false,Rx,0,6,01,01,91,40,30,10,00,00,
39237052,0000015B,false,Rx,0,8,05,00,00,00,00,00,00,00,
39238322,000000E1,false,Rx,0,7,D8,00,3F,FC,FC,FC,00,00,
39238346,0000051D,false,Rx,0,8,01,00,00,00,00,00,00,00,
39241199,000005DD,false,Rx,0,8,1D,02,06,05,02,84,20,12,
39250642,00000131,false,Rx,0,5,01,00,00,00,00,00,00,00,
39250667,000001A0,false,Rx,0,2,92,00,00,00,00,00,00,00,
39251598,000000E2,false,Rx,0,8,00,00,00,00,00,00,30,00,
39253461,00000162,false,Rx,0,7,00,01,16,01,00,2F,00,00,
39260323,000003A7,false,Rx,0,8,10,00,00,03,EE,FF,FF,05,
39270856,000001E5,false,Rx,0,7,3F,3F,42,3F,44,00,17,00,
39275008,000002B6,false,Rx,0,8,32,31,37,31,35,33,38,33,
39280170,000001A8,false,Rx,0,8,00,FF,FF,00,00,13,E2,2D,
39288892,000001CC,false,Rx,0,2,00,00,00,00,00,00,00,00,
39306038,0000012D,false,Rx,0,8,00,41,41,00,00,64,98,80,
39315079,00000128,false,Rx,0,8,B1,C0,00,00,C0,80,B0,01,
39316997,000001DF,false,Rx,0,3,00,00,00,00,00,00,00,00,
39327189,000001E2,false,Rx,0,7,FF,FF,FF,FF,7F,00,00,00,
39328979,000001A2,false,Rx,0,5,FF,FF,FF,00,00,00,00,00,
39330443,00000161,false,Rx,0,7,00,00,3C,07,00,00,FF,00,
39331433,000005E0,false,Rx,0,8,20,1E,03,04,05,0E,20,0D,
39331449,00000217,false,Rx,0,8,F1,00,80,00,00,FF,00,00,
39341670,00000165,false,Rx,0,4,00,00,00,00,00,00,00,00,
39359360,000002A0,false,Rx,0,1,00,00,00,00,00,00,00,00,
39372612,00000217,false,Rx,0,8,F1,00,80,00,00,FF,FF,E0,
39409825,000000F6,false,Rx,0,8,88,3C,1F,5E,0B,FC,FF,28,
39422452,00000217,false,Rx,0,8,F1,10,80,00,00,FF,00,60,
39434794,00000260,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
39444793,000002A1,false,Rx,0,7,25,02,39,00,49,03,99,00,
39457688,0000015B,false,Rx,0,8,01,03,B1,40,00,D0,00,10,
39534781,00000220,false,Rx,0,2,04,00,00,00,00,00,00,00,
39545614,00000225,false,Rx,0,5,30,00,40,03,98,00,00,00,
